gender,height_cm,weight_kg,body_fat_pct,chest_cm,waist_cm,shoulders_cm,arms_cm,forearms_cm,neck_cm,thighs_cm,calves_cm,hips_cm,ratio_shoulder_to_waist,ratio_chest_to_waist,ratio_hip_to_waist,ratio_thigh_to_waist,ratio_calf_to_thigh,ratio_arm_to_neck,ratio_forearm_to_arm,target_focus
male,187.3,81.0,26.1,100.7,76.5,113.2,28.1,25.3,36.9,62.8,42.9,86.3,1.4797,1.3163,1.1281,0.8209,0.6831,0.7615,0.9004,arms
female,158.8,70.2,25.2,77.2,81.4,99.8,23.549999999999997,20.3,31.4,58.6,34.3,102.6,1.226,0.9484,1.2604,0.7199,0.5853,0.75,0.862,chest
female,172.9,61.2,17.1,97.5,71.3,111.8,29.3,22.7,33.9,67.7,42.3,100.6,1.568,1.3675,1.4109,0.9495,0.6248,0.8643,0.7747,arms
female,171.5,55.7,28.0,89.8,76.5,98.2,22.4,17.8,30.2,53.2,23.94,115.5,1.2837,1.1739,1.5098,0.6954,0.45,0.7417,0.7946,arms
female,159.2,68.8,23.6,88.0,75.5,108.3,26.8,25.7,30.1,56.0,44.1,101.8,1.4344,1.1656,1.3483,0.7417,0.7875,0.8904,0.959,chest
male,178.6,90.1,17.7,98.6,77.0,121.4,30.6,30.0,41.3,60.2,34.9,99.2,1.5766,1.2805,1.2883,0.7818,0.5797,0.7409,0.9804,arms
female,170.6,44.9,24.0,76.1,62.0,113.5,31.1,21.2,29.2,38.2,33.1,119.4,1.8306,1.2274,1.9258,0.6161,0.8665,1.0651,0.6817,legs
male,174.1,88.5,8.6,97.6,84.9,117.3,37.2,29.0,40.0,53.9,39.6,107.4,1.3816,1.1496,1.265,0.6349,0.7347,0.93,0.7796,chest
male,171.8,100.7,16.9,111.2,80.0,129.6,34.5,28.8,42.7,55.8,32.2,92.9,1.62,1.39,1.1613,0.6975,0.5771,0.808,0.8348,arms
female,155.6,72.0,22.8,98.0,54.8,98.5,22.1,20.9,33.6,54.9,34.1,98.7,1.7974,1.7883,1.8011,1.0018,0.6211,0.6577,0.9457,arms
female,158.9,72.8,30.0,92.7,78.5,106.1,35.1,22.8,32.2,51.5,23.175,90.0,1.3516,1.1809,1.1465,0.6561,0.45,1.0901,0.6496,calves
male,174.4,69.6,17.6,102.7,84.5,111.9,37.6,30.2,37.5,54.1,38.2,97.3,1.3243,1.2154,1.1515,0.6402,0.7061,1.0027,0.8032,shoulders
male,177.5,85.7,12.6,101.5,70.9,128.7,29.325000000000003,27.2,39.1,43.5,31.4,93.9,1.8152,1.4316,1.3244,0.6135,0.7218,0.75,0.9275,arms
male,183.0,110.0,10.9,93.3,86.1,130.9,29.1,28.7,43.5,48.1,30.9,93.0,1.5203,1.0836,1.0801,0.5587,0.6424,0.669,0.9863,arms
male,183.7,85.4,7.4,104.1,78.8,128.2,31.5,26.1,39.6,62.6,37.8,84.2,1.6269,1.3211,1.0685,0.7944,0.6038,0.7955,0.8286,arms
female,158.8,67.6,17.5,93.1,67.5,95.0,30.5,23.6,31.5,64.7,33.5,100.3,1.4074,1.3793,1.4859,0.9585,0.5178,0.9683,0.7738,calves
male,173.7,88.6,14.8,96.7,96.3,109.7,24.3,32.8,45.6,55.6,28.3,93.8,1.1391,1.0042,0.974,0.5774,0.509,0.5329,1.3498,arms
female,163.9,52.8,29.5,93.7,62.0,108.9,35.2,23.4,32.2,55.1,24.795,86.2,1.7565,1.5113,1.3903,0.8887,0.45,1.0932,0.6648,calves
female,162.7,85.3,25.0,101.7,65.2,108.1,29.1,20.8,33.4,63.3,33.9,86.5,1.658,1.5598,1.3267,0.9709,0.5355,0.8713,0.7148,arms
male,171.7,77.2,17.5,86.4,69.5,121.9,31.9,20.3,40.4,59.6,33.1,86.8,1.754,1.2432,1.2489,0.8576,0.5554,0.7896,0.6364,arms
female,167.1,91.2,28.5,92.7,72.7,109.7,30.2,26.1,31.7,53.4,33.3,106.3,1.5089,1.2751,1.4622,0.7345,0.6236,0.9527,0.8642,chest
female,162.2,60.3,27.9,88.3,81.6,88.2,25.1,21.0,27.2,50.2,31.8,98.4,1.0809,1.0821,1.2059,0.6152,0.6335,0.9228,0.8367,shoulders
female,163.5,53.7,25.7,97.3,66.2,97.6,30.0,22.4,34.6,55.9,37.5,91.7,1.4743,1.4698,1.3852,0.8444,0.6708,0.8671,0.7467,arms
female,163.7,51.6,16.6,94.8,71.2,96.8,20.475,25.8,27.3,47.0,31.8,111.7,1.3596,1.3315,1.5688,0.6601,0.6766,0.75,1.2601,arms
female,169.6,52.5,19.3,93.1,74.5,107.8,27.3,23.7,33.4,60.7,27.315,87.0,1.447,1.2497,1.1678,0.8148,0.45,0.8174,0.8681,calves
male,185.0,98.6,11.9,85.1,84.9,125.4,41.2,29.5,36.9,52.6,36.0,93.9,1.477,1.0024,1.106,0.6196,0.6844,1.1165,0.716,chest
male,192.3,107.0,24.8,92.6,91.7,123.1,35.8,31.7,39.9,62.4,38.5,98.4,1.3424,1.0098,1.0731,0.6805,0.617,0.8972,0.8855,chest
female,165.5,58.9,18.3,101.8,87.8,113.5,28.9,26.4,33.0,57.2,31.2,103.2,1.2927,1.1595,1.1754,0.6515,0.5455,0.8758,0.9135,shoulders
male,168.9,81.3,17.5,114.4,92.0,118.1,35.0,28.1,37.4,51.5,35.4,90.8,1.2837,1.2435,0.987,0.5598,0.6874,0.9358,0.8029,legs
male,181.6,87.5,7.3,99.0,93.0,126.5,38.1,28.1,35.5,51.5,37.4,98.7,1.3602,1.0645,1.0613,0.5538,0.7262,1.0732,0.7375,legs
male,185.7,80.1,10.5,97.4,86.0,116.4,31.7,28.8,36.5,54.2,37.2,93.2,1.3535,1.1326,1.0837,0.6302,0.6863,0.8685,0.9085,chest
male,179.9,66.0,15.1,111.5,73.5,101.1,26.6,28.1,38.1,57.3,25.785,77.3,1.3755,1.517,1.0517,0.7796,0.45,0.6982,1.0564,arms
male,188.9,66.2,15.7,94.0,76.0,115.4,39.7,33.5,37.0,69.4,36.1,108.3,1.5184,1.2368,1.425,0.9132,0.5202,1.073,0.8438,calves
male,178.9,87.1,37.1,106.8,77.6,125.8,32.6,26.5,40.7,58.2,37.1,96.1,1.6211,1.3763,1.2384,0.75,0.6375,0.801,0.8129,arms
female,167.5,43.7,30.0,83.1,62.5,103.6,26.325000000000003,21.3,35.1,47.9,33.6,95.3,1.6576,1.3296,1.5248,0.7664,0.7015,0.75,0.8091,arms
female,166.7,53.9,30.3,90.4,58.9,90.3,28.0,22.4,32.7,55.8,35.8,107.6,1.5331,1.5348,1.8268,0.9474,0.6416,0.8563,0.8,arms
male,169.8,66.7,19.7,110.0,80.1,98.0,27.2,25.5,36.3,55.5,36.2,93.8,1.2235,1.3733,1.171,0.6929,0.6523,0.7493,0.9375,arms
male,173.3,69.9,20.9,87.7,87.5,118.8,33.4,32.8,36.1,70.4,35.1,87.1,1.3577,1.0023,0.9954,0.8046,0.4986,0.9252,0.982,chest
female,158.5,56.7,28.4,93.9,69.0,110.9,32.1,26.6,34.3,64.2,28.89,97.5,1.6072,1.3609,1.413,0.9304,0.45,0.9359,0.8287,calves
male,178.8,74.0,17.0,115.1,82.5,121.3,33.1,28.2,38.0,60.7,40.7,107.5,1.4703,1.3952,1.303,0.7358,0.6705,0.8711,0.852,arms
female,168.5,52.3,25.5,96.6,80.9,105.5,31.1,24.2,36.0,57.7,33.8,102.7,1.3041,1.1941,1.2695,0.7132,0.5858,0.8639,0.7781,shoulders
male,180.7,30.9,7.7,103.6,88.3,108.7,31.2,32.1,36.5,71.5,36.0,98.9,1.231,1.1733,1.12,0.8097,0.5035,0.8548,1.0288,shoulders
female,165.8,54.0,25.3,89.8,63.1,102.2,25.4,25.3,33.1,54.3,34.6,101.8,1.6197,1.4231,1.6133,0.8605,0.6372,0.7674,0.9961,arms
male,171.0,67.4,24.6,96.7,71.2,121.6,35.9,23.4,38.7,62.4,37.5,100.4,1.7079,1.3581,1.4101,0.8764,0.601,0.9276,0.6518,forearms
male,180.3,77.8,15.1,107.0,97.3,132.4,39.3,27.7,39.1,62.6,36.5,96.9,1.3607,1.0997,0.9959,0.6434,0.5831,1.0051,0.7048,chest
male,177.6,71.8,15.5,105.1,84.0,120.7,36.7,26.9,40.3,60.3,27.134999999999998,106.1,1.4369,1.2512,1.2631,0.7179,0.45,0.9107,0.733,calves
male,166.4,67.4,11.9,100.4,81.5,115.3,36.5,29.0,38.9,60.5,38.5,81.2,1.4147,1.2319,0.9963,0.7423,0.6364,0.9383,0.7945,glutes
male,162.7,82.5,18.0,108.4,94.7,119.6,32.0,29.5,36.4,58.0,39.9,92.1,1.2629,1.1447,0.9725,0.6125,0.6879,0.8791,0.9219,glutes
male,182.7,68.6,23.8,105.6,84.9,111.9,30.6,26.4,39.6,52.3,37.8,87.3,1.318,1.2438,1.0283,0.616,0.7228,0.7727,0.8627,arms
male,178.8,116.2,9.7,111.8,85.3,121.3,34.5,29.3,37.5,66.7,34.2,103.9,1.422,1.3107,1.2181,0.7819,0.5127,0.92,0.8493,calves
female,164.6,53.2,28.7,100.1,73.4,102.6,24.1,22.4,29.0,50.5,35.8,110.6,1.3978,1.3638,1.5068,0.688,0.7089,0.831,0.9295,arms
male,173.9,102.1,19.5,98.8,87.9,118.5,34.4,26.8,33.8,48.7,38.6,94.1,1.3481,1.124,1.0705,0.554,0.7926,1.0178,0.7791,legs
male,178.1,93.1,19.1,94.8,95.0,130.6,36.0,30.9,41.7,64.8,29.16,100.2,1.3747,0.9979,1.0547,0.6821,0.45,0.8633,0.8583,chest
male,170.3,91.8,9.9,93.6,95.7,124.7,39.9,27.2,34.5,56.6,36.4,96.6,1.303,0.9781,1.0094,0.5914,0.6431,1.1565,0.6817,chest
female,162.8,68.9,20.1,93.2,74.0,98.8,27.2,22.5,32.3,66.6,34.7,98.0,1.3351,1.2595,1.3243,0.9,0.521,0.8421,0.8272,shoulders
male,171.7,78.3,13.9,111.1,82.5,128.3,34.2,28.1,37.7,58.0,42.9,79.8,1.5552,1.3467,0.9673,0.703,0.7397,0.9072,0.8216,glutes
female,161.7,65.2,30.1,93.3,70.9,111.1,26.549999999999997,23.5,35.4,57.6,33.0,105.6,1.567,1.3159,1.4894,0.8124,0.5729,0.75,0.8851,arms
female,165.0,81.2,11.3,80.1,64.5,101.5,27.1,19.2,30.5,50.8,43.6,114.4,1.5736,1.2419,1.7736,0.7876,0.8583,0.8885,0.7085,forearms
female,162.8,52.4,14.6,89.2,66.0,103.4,22.4,21.1,33.4,58.2,36.5,89.4,1.5667,1.3515,1.3545,0.8818,0.6271,0.6707,0.942,arms
male,172.4,90.9,17.9,89.0,81.2,120.9,36.5,27.6,42.6,64.0,28.8,101.3,1.4889,1.0961,1.2475,0.7882,0.45,0.8568,0.7562,calves
female,176.8,51.5,20.4,100.4,65.5,94.7,26.3,24.1,32.7,52.1,32.6,94.3,1.4458,1.5328,1.4397,0.7954,0.6257,0.8043,0.9163,arms
female,178.7,68.3,31.3,86.6,72.5,99.0,18.7,19.6,28.5,42.5,30.8,110.6,1.3655,1.1945,1.5255,0.5862,0.7247,0.6561,1.0481,arms
male,187.0,87.8,22.7,92.8,88.7,123.8,31.7,29.7,39.7,54.7,31.5,87.7,1.3957,1.0462,0.9887,0.6167,0.5759,0.7985,0.9369,chest
male,162.0,83.2,20.0,93.7,84.2,122.6,36.5,32.7,41.8,52.0,42.7,92.3,1.4561,1.1128,1.0962,0.6176,0.8212,0.8732,0.8959,chest
male,178.5,76.2,7.2,98.6,70.0,125.7,40.1,25.6,38.9,53.6,33.5,101.4,1.7957,1.4086,1.4486,0.7657,0.625,1.0308,0.6384,forearms
female,175.4,59.7,32.0,90.7,80.4,100.9,27.8,22.7,30.9,60.0,37.3,104.7,1.255,1.1281,1.3022,0.7463,0.6217,0.8997,0.8165,shoulders
female,173.7,60.9,28.2,85.6,74.2,99.8,33.7,23.9,32.5,63.2,28.44,83.9,1.345,1.1536,1.1307,0.8518,0.45,1.0369,0.7092,calves
male,178.4,85.5,10.0,99.8,102.0,124.6,27.599999999999998,26.7,36.8,45.2,37.0,101.9,1.2216,0.9784,0.999,0.4431,0.8186,0.75,0.9674,legs
male,173.4,65.8,12.2,100.4,65.2,122.9,37.0,27.2,30.6,52.0,40.9,76.6,1.885,1.5399,1.1748,0.7975,0.7865,1.2092,0.7351,forearms
male,169.7,93.3,13.9,103.2,89.1,132.7,33.2,29.1,33.5,65.1,33.0,92.1,1.4893,1.1582,1.0337,0.7306,0.5069,0.991,0.8765,glutes
female,155.6,67.5,31.8,92.1,61.3,103.1,30.6,18.3,30.3,61.3,35.9,103.3,1.6819,1.5024,1.6852,1.0,0.5856,1.0099,0.598,forearms
male,181.3,91.2,34.3,98.3,76.8,121.4,35.8,26.4,34.9,71.9,37.3,90.9,1.5807,1.2799,1.1836,0.9362,0.5188,1.0258,0.7374,calves
female,164.3,62.2,29.4,81.0,76.8,117.4,29.6,22.1,31.7,53.5,34.1,97.0,1.5286,1.0547,1.263,0.6966,0.6374,0.9338,0.7466,chest
female,154.6,74.5,23.7,92.6,65.0,113.3,32.4,25.4,29.2,61.0,27.45,87.2,1.7431,1.4246,1.3415,0.9385,0.45,1.1096,0.784,calves
female,167.2,71.1,27.1,92.0,85.8,112.6,18.0,22.2,32.6,45.5,35.3,110.0,1.3124,1.0723,1.2821,0.5303,0.7758,0.5521,1.2333,arms
female,167.0,54.9,22.0,100.3,69.7,107.2,21.5,27.7,34.5,54.9,37.0,88.7,1.538,1.439,1.2726,0.7877,0.674,0.6232,1.2884,arms
female,163.1,62.8,23.1,85.9,79.6,105.8,30.3,23.0,34.3,53.5,42.8,87.5,1.3291,1.0791,1.0992,0.6721,0.8,0.8834,0.7591,chest
male,187.6,70.1,31.4,108.0,92.7,118.2,33.1,27.4,39.2,66.4,36.7,89.6,1.2751,1.165,0.9666,0.7163,0.5527,0.8444,0.8278,glutes
male,184.4,91.2,22.5,97.8,75.6,111.1,28.275000000000002,28.7,37.7,55.4,24.2,87.3,1.4696,1.2937,1.1548,0.7328,0.4368,0.75,1.015,calves
male,173.3,87.0,9.7,111.5,82.7,120.3,43.3,32.5,37.1,54.4,34.7,99.6,1.4547,1.3482,1.2044,0.6578,0.6379,1.1671,0.7506,legs
male,175.2,102.5,17.3,118.4,84.8,132.3,35.4,30.9,35.8,52.9,23.805,102.9,1.5601,1.3962,1.2134,0.6238,0.45,0.9888,0.8729,calves
male,169.0,63.0,9.4,85.9,85.0,127.0,33.9,21.2,37.4,57.0,44.4,85.8,1.4941,1.0106,1.0094,0.6706,0.7789,0.9064,0.6254,chest
female,175.2,69.9,29.4,90.8,76.6,109.4,25.2,25.2,29.6,58.0,35.6,95.1,1.4282,1.1854,1.2415,0.7572,0.6138,0.8514,1.0,chest
female,161.3,53.2,23.9,82.3,76.6,95.9,30.5,20.0,31.6,52.3,39.6,102.6,1.252,1.0744,1.3394,0.6828,0.7572,0.9652,0.6557,chest
male,181.5,52.5,17.7,116.0,85.2,118.5,36.2,30.7,32.0,47.9,36.8,91.0,1.3908,1.3615,1.0681,0.5622,0.7683,1.1313,0.8481,legs
male,175.8,54.9,10.4,78.0,81.9,116.5,32.3,31.2,41.6,57.0,27.5,100.3,1.4225,0.9524,1.2247,0.696,0.4825,0.7764,0.9659,chest
male,180.2,95.7,11.0,116.1,75.4,124.0,27.3,25.2,42.5,56.4,39.4,97.7,1.6446,1.5398,1.2958,0.748,0.6986,0.6424,0.9231,arms
female,173.2,62.4,15.3,84.4,78.4,106.8,22.5,21.2,31.5,53.8,24.21,95.0,1.3622,1.0765,1.2117,0.6862,0.45,0.7143,0.9422,arms
female,169.6,73.9,25.1,87.3,75.1,98.3,24.0,20.6,31.4,49.0,35.6,105.8,1.3089,1.1625,1.4088,0.6525,0.7265,0.7643,0.8583,arms
male,178.2,78.9,20.0,99.9,70.9,107.9,23.549999999999997,31.1,31.4,60.1,40.8,94.9,1.5219,1.409,1.3385,0.8477,0.6789,0.75,1.3206,arms
male,173.1,80.3,8.3,81.2,92.5,110.1,32.2,23.8,33.8,57.0,33.1,98.6,1.1903,0.8778,1.0659,0.6162,0.5807,0.9527,0.7391,chest
male,180.2,85.3,27.5,91.5,83.5,127.1,39.1,23.7,37.1,66.1,38.0,97.4,1.5222,1.0958,1.1665,0.7916,0.5749,1.0539,0.6061,forearms
male,175.3,86.0,16.5,99.7,84.7,112.6,36.1,36.7,32.7,59.9,33.0,100.0,1.3294,1.1771,1.1806,0.7072,0.5509,1.104,1.0166,shoulders
male,183.3,98.5,19.2,109.1,62.9,130.7,35.5,31.2,34.3,53.0,36.6,95.9,2.0779,1.7345,1.5246,0.8426,0.6906,1.035,0.8789,arms
male,185.6,57.3,23.8,100.1,82.2,106.2,36.0,20.8,39.9,49.0,22.05,95.2,1.292,1.2178,1.1582,0.5961,0.45,0.9023,0.5778,forearms
male,176.7,72.3,15.0,110.2,88.8,114.9,33.1,23.3,39.2,47.4,39.0,96.9,1.2939,1.241,1.0912,0.5338,0.8228,0.8444,0.7039,legs
male,170.3,80.6,28.8,109.5,77.7,119.8,34.0,28.8,35.9,57.5,29.6,96.9,1.5418,1.4093,1.2471,0.74,0.5148,0.9471,0.8471,calves
female,163.6,47.2,31.9,92.6,68.2,102.0,22.7,20.4,31.7,63.4,32.8,105.1,1.4956,1.3578,1.5411,0.9296,0.5174,0.7161,0.8987,arms
male,179.7,80.0,23.2,95.7,69.8,106.9,31.9,24.3,39.2,55.2,45.5,83.8,1.5315,1.3711,1.2006,0.7908,0.8243,0.8138,0.7618,arms
female,158.2,59.6,26.8,73.7,75.9,117.3,26.4,23.6,35.6,55.0,33.0,81.8,1.5455,0.971,1.0777,0.7246,0.6,0.7416,0.8939,chest
male,177.2,67.8,18.8,95.3,79.2,122.9,25.349999999999998,31.1,33.8,54.0,43.7,103.9,1.5518,1.2033,1.3119,0.6818,0.8093,0.75,1.2268,arms
female,159.4,59.2,26.4,90.3,73.3,103.8,27.2,19.4,31.7,61.5,27.675,98.5,1.4161,1.2319,1.3438,0.839,0.45,0.858,0.7132,calves
male,178.8,76.6,26.9,104.1,72.2,123.4,30.9,26.3,38.9,55.0,39.6,90.6,1.7091,1.4418,1.2548,0.7618,0.72,0.7943,0.8511,arms
male,173.4,74.1,24.6,105.0,99.4,136.1,29.9,28.2,34.5,53.3,33.5,88.6,1.3692,1.0563,0.8913,0.5362,0.6285,0.8667,0.9431,glutes
male,177.0,65.0,23.1,92.7,109.3,114.4,34.3,24.1,43.1,64.7,37.2,86.6,1.0467,0.8481,0.7923,0.5919,0.575,0.7958,0.7026,chest
male,170.1,102.5,22.9,100.8,62.1,110.1,36.8,31.6,41.3,48.4,37.2,103.1,1.7729,1.6232,1.6602,0.7794,0.7686,0.891,0.8587,arms
female,165.0,68.0,24.2,77.0,71.4,101.7,27.5,21.6,31.9,55.8,36.5,97.6,1.4244,1.0784,1.3669,0.7815,0.6541,0.8621,0.7855,chest
male,178.6,55.1,20.9,100.0,84.4,125.7,26.2,22.1,38.8,58.0,36.7,92.8,1.4893,1.1848,1.0995,0.6872,0.6328,0.6753,0.8435,arms
male,184.5,88.8,16.4,83.1,90.9,127.8,36.6,25.4,40.0,63.2,28.44,89.9,1.4059,0.9142,0.989,0.6953,0.45,0.915,0.694,chest
male,183.2,82.8,11.3,103.3,89.2,118.7,34.9,27.2,42.4,52.6,33.7,96.1,1.3307,1.1581,1.0774,0.5897,0.6407,0.8231,0.7794,legs
female,156.0,50.6,13.8,90.2,65.1,101.3,30.3,21.4,33.6,54.2,37.4,103.8,1.5561,1.3856,1.5945,0.8326,0.69,0.9018,0.7063,forearms
male,176.8,96.6,20.4,88.8,89.9,109.3,29.174999999999997,31.1,38.9,58.9,35.2,100.7,1.2158,0.9878,1.1201,0.6552,0.5976,0.75,1.066,chest
male,179.6,94.2,14.6,95.1,73.3,109.5,26.7,30.2,43.4,66.6,29.5,101.1,1.4939,1.2974,1.3793,0.9086,0.4429,0.6152,1.1311,arms
female,162.3,66.1,14.0,91.9,65.5,105.4,22.5,24.4,35.6,51.3,31.0,82.8,1.6092,1.4031,1.2641,0.7832,0.6043,0.632,1.0844,arms
female,161.5,47.9,28.7,86.9,65.4,100.1,31.7,24.5,32.7,59.7,30.9,100.3,1.5306,1.3287,1.5336,0.9128,0.5176,0.9694,0.7729,calves
male,174.7,88.1,13.3,104.1,89.0,94.7,38.8,18.9,36.2,64.2,28.89,85.7,1.064,1.1697,0.9629,0.7213,0.45,1.0718,0.4871,forearms
female,171.2,43.9,32.8,89.6,64.5,99.9,24.4,25.2,34.8,45.7,33.6,93.1,1.5488,1.3891,1.4434,0.7085,0.7352,0.7011,1.0328,arms
male,168.5,104.5,17.8,90.7,77.9,111.6,28.9,28.3,34.3,44.9,34.5,83.4,1.4326,1.1643,1.0706,0.5764,0.7684,0.8426,0.9792,legs
male,171.6,69.8,30.0,100.5,86.2,103.8,31.4,28.6,34.9,63.4,31.2,94.0,1.2042,1.1659,1.0905,0.7355,0.4921,0.8997,0.9108,shoulders
female,166.0,58.0,24.4,88.3,68.1,107.4,28.8,22.8,31.9,60.8,34.2,97.5,1.5771,1.2966,1.4317,0.8928,0.5625,0.9028,0.7917,arms
female,175.2,50.3,30.6,76.7,75.7,115.0,29.7,23.4,31.6,56.2,34.1,93.7,1.5192,1.0132,1.2378,0.7424,0.6068,0.9399,0.7879,chest
female,166.2,56.6,21.2,80.5,77.1,107.8,28.8,25.4,33.2,58.4,36.1,99.3,1.3982,1.0441,1.2879,0.7575,0.6182,0.8675,0.8819,chest
male,193.5,75.7,14.0,103.5,86.3,106.8,38.5,27.7,34.7,65.1,29.294999999999998,87.1,1.2375,1.1993,1.0093,0.7543,0.45,1.1095,0.7195,calves
